x,y,gender,,,,,,,,,,,,,,,,,,,,,,,,,
317,37.83857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
318,37.84285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
319,37.845,Female,,,,,,,,,,,,,,,,,,,,,,,,,
320,37.84285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
321,37.87,Female,,,,,,,,,,,,,,,,,,,,,,,,,
322,37.90214286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
323,37.91785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
324,37.91428571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
325,37.89214286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
326,37.87714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
327,37.86642857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
328,37.83357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
329,37.84642857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
330,37.87142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
331,37.88071429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
332,37.87214286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
333,37.87857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
334,37.87785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
335,37.86428571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
336,37.84714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
337,37.82857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
338,37.82214286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
339,37.8,Female,,,,,,,,,,,,,,,,,,,,,,,,,
340,37.80142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
341,37.82571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
342,37.86285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
343,37.88285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
344,37.87714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
345,37.89357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
346,37.885,Female,,,,,,,,,,,,,,,,,,,,,,,,,
347,37.88571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
348,37.89214286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
349,37.91071429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
350,37.93285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
